Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,WAR,Unnamed: 30
1972,22,CLE,AL,136.0,567.0,527.0,49.0,123.0,13.0,2.0,5.0,35.0,3.0,2.0,27.0,46.0,0.233,0.271,0.294,0.565,66.0,155.0,8.0,1.0,9.0,3.0,0.0,*4/H5,,5.6,
1979,25,DET,AL,60.0,208.0,190.0,23.0,50.0,5.0,2.0,4.0,21.0,10.0,3.0,11.0,40.0,0.263,0.309,0.374,0.683,82.0,71.0,3.0,2.0,4.0,1.0,0.0,54/DH,,11.5,
1981,24,NYM,NL,98.0,389.0,358.0,34.0,110.0,21.0,2.0,4.0,38.0,9.0,5.0,23.0,65.0,0.307,0.345,0.411,0.756,116.0,147.0,9.0,1.0,1.0,6.0,2.0,*5/H976,RoY-3,13.0,
1993,26,OAK,AL,70.0,233.0,213.0,26.0,53.0,10.0,1.0,6.0,25.0,6.0,0.0,14.0,37.0,0.249,0.296,0.39,0.685,88.0,83.0,6.0,1.0,3.0,2.0,0.0,8H35/796D,,15.7,
1980,24,MIL,AL,45,133,125,17,29,6,0,5,16,1,0,7,24,0.232,0.278,0.4,0.678,87.0,50,3.0,1,0,0,0.0,D3H/97,,-0.2,
2003,26,CLE,AL,116.0,429.0,386.0,53.0,96.0,21.0,3.0,16.0,55.0,5.0,2.0,32.0,75.0,0.249,0.312,0.443,0.755,100.0,171.0,6.0,5.0,3.0,3.0,2.0,*3/H,,4.4,
1987,27,TEX,AL,127.0,349.0,303.0,63.0,79.0,10.0,3.0,14.0,46.0,15.0,9.0,36.0,66.0,0.261,0.338,0.452,0.79,108.0,137.0,2.0,0.0,9.0,1.0,0.0,87H/D9,,2.5,
1997,23,PIT,NL,48.0,167.0,147.0,17.0,28.0,6.0,0.0,1.0,10.0,8.0,4.0,13.0,18.0,0.19,0.273,0.252,0.524,37.0,37.0,3.0,4.0,2.0,1.0,0.0,8H/9,,-0.4,
2012,27,COL,NL,46.0,126.0,112.0,14.0,26.0,7.0,0.0,5.0,11.0,2.0,2.0,12.0,34.0,0.232,0.302,0.429,0.73,83.0,48.0,3.0,0.0,0.0,2.0,0.0,9H7,,-0.2,
1947,22,NYY,AL,69.0,175.0,150.0,21.0,45.0,6.0,1.0,1.0,18.0,0.0,2.0,21.0,9.0,0.3,0.39,0.373,0.763,114.0,56.0,4.0,1.0,3.0,,0.0,H56/89,,6.7,
1980,26,NYY,AL,137.0,446.0,412.0,65.0,107.0,12.0,5.0,14.0,47.0,27.0,8.0,29.0,82.0,0.26,0.306,0.415,0.721,98.0,171.0,8.0,0.0,2.0,3.0,4.0,*879H/D,,2.0,
1997,26,CHC,NL,46.0,148.0,137.0,15.0,32.0,7.0,1.0,5.0,15.0,2.0,1.0,7.0,28.0,0.234,0.286,0.409,0.694,78.0,56.0,2.0,3.0,1.0,0.0,0.0,73/H,,-0.9,
1985,23,SFG,NL,131.0,482.0,432.0,50.0,117.0,20.0,3.0,16.0,61.0,2.0,3.0,38.0,78.0,0.271,0.345,0.442,0.787,124.0,191.0,19.0,11.0,1.0,0.0,4.0,*5H,RoY-4,6.0,
1983,27,MIN,AL,91.0,323.0,309.0,40.0,84.0,6.0,2.0,0.0,22.0,3.0,3.0,10.0,28.0,0.272,0.297,0.304,0.601,65.0,94.0,9.0,1.0,3.0,0.0,0.0,8H/7D,,0.0,
2001,23,KCR,AL,106.0,406.0,380.0,39.0,93.0,19.0,0.0,7.0,40.0,5.0,3.0,22.0,81.0,0.245,0.286,0.35,0.636,63.0,133.0,12.0,1.0,1.0,2.0,4.0,7D/H89,,-2.9,
1958,23,CLE,AL,68.0,193.0,173.0,20.0,41.0,5.0,0.0,7.0,20.0,1.0,0.0,14.0,27.0,0.237,0.304,0.387,0.691,90.0,67.0,3.0,3.0,2.0,1.0,1.0,2/H,,2.9,
2011,23,PHI,NL,56,210,184,28,45,10,1,5,19,3,1,25,35,0.245,0.333,0.391,0.725,98.0,72,2,0,0,1,1,9/H,,0.7,
1997,22,PIT,NL,66.0,112.0,95.0,16.0,17.0,2.0,1.0,2.0,6.0,5.0,1.0,10.0,32.0,0.179,0.304,0.284,0.588,54.0,27.0,1.0,7.0,0.0,0.0,1.0,H7/89,,0.9,
1963,24,DET,AL,55,93,82,16,22,3,1,2,14,2,1.0,8,13,0.268,0.333,0.402,0.736,103.0,33,3.0,1,0,2,0.0,H7,,9.7,
1969,27,DET,AL,70,205,170,24,39,4,3,5,12,2,3,26,43,0.229,0.338,0.376,0.715,96.0,64,7.0,2,7,0,4.0,4H5/976,,3.0,
1975,27,SFG,NL,41,48,43,6,9,3,0,0,4,0,0,5,13,0.209,0.292,0.279,0.571,57.0,12,0.0,0,0,0,0.0,H/798,,-0.3,
1993,26,SDP,NL,47.0,157.0,133.0,21.0,31.0,9.0,2.0,0.0,8.0,3.0,3.0,15.0,26.0,0.233,0.335,0.331,0.666,79.0,44.0,4.0,6.0,2.0,1.0,0.0,8/H7,,-0.3,
1937,27,STL,NL,138,581,525,86,145,20,9,2,53,10,14,27,29,.276,.313,.360,.673,82,189,16,1,26,,1,*46/H5,,10.5,
1998,25,TOR,AL,52.0,128.0,110.0,17.0,29.0,7.0,1.0,2.0,15.0,0.0,0.0,9.0,31.0,0.264,0.32,0.4,0.72,87.0,44.0,1.0,2.0,3.0,4.0,0.0,2/H,,0.7,
1963,23,CLE,AL,74.0,281.0,247.0,28.0,63.0,6.0,0.0,5.0,18.0,4.0,3.0,22.0,27.0,0.255,0.316,0.34,0.656,85.0,84.0,4.0,1.0,9.0,2.0,0.0,64/H,,6.9,
1976,27,NYM,NL,64,74,70,11,15,3,0,0,2,2,4,4,4,0.214,0.257,0.257,0.514,51.0,18,3.0,0,0,0,0.0,H8/79,,-0.4,
1984,24,CAL,AL,62.0,163.0,148.0,19.0,42.0,8.0,3.0,7.0,22.0,0.0,2.0,13.0,23.0,0.284,0.342,0.52,0.862,136.0,77.0,8.0,0.0,2.0,0.0,1.0,9H/D7,,0.9,
1966,22,SFG,NL,115,386,348,32,81,7,1,7,33,2,5,33,66,.233,.303,.319,.622,71,111,14,2,3,0,7,*98/H,,10.4,
1972,26,ATL,NL,76,168,164,19,37,5,1,3,16,0,2,4,29,0.226,0.244,0.323,0.567,55.0,53,4.0,0,0,0,0.0,9H7/8,,-2.1,
2000,24,CHC,NL,45,98,91,11,32,8,0,3,14,0,1,4,22,0.352,0.378,0.538,0.916,131.0,49,0,1,0,2,0,7H/98,,-0.8,
1963,22,WSA,AL,61,128,116,8,17,4,0,1,4,2,1,11,45,0.147,0.227,0.207,0.433,23.0,24,0.0,1,0,0,0.0,H37/89,,-1.4,
1944,16,BRO,NL,46.0,160.0,146.0,17.0,24.0,4.0,0.0,0.0,8.0,0.0,0.0,8.0,17.0,0.164,0.208,0.192,0.4,14.0,28.0,3.0,0.0,6.0,,0.0,6,,-2.1,
2016,24,SFG,NL,75,184,173,17,41,7,0,5,19,0,1,10,39,0.237,0.283,0.364,0.647,74.0,63,2,1,0,0,0,2H/D5,,-0.1,
1966,23,CHC,NL,120.0,466.0,419.0,46.0,102.0,15.0,7.0,16.0,51.0,3.0,3.0,40.0,143.0,0.243,0.316,0.427,0.743,104.0,179.0,7.0,5.0,1.0,1.0,1.0,*789/H,,-0.2,
1987,21,TEX,AL,132.0,526.0,454.0,63.0,123.0,16.0,6.0,1.0,38.0,27.0,17.0,61.0,50.0,0.271,0.358,0.339,0.698,87.0,154.0,6.0,2.0,7.0,2.0,0.0,*4/HD,,11.9,
1962,33,HOU,NL,65,114,100,8,21,4,2,1,10,0,0.0,13,9,0.21,0.298,0.32,0.618,72.0,32,8.0,0,0,1.0,0.0,H3,,0.1,
2016,26,MIL,NL,75.0,244.0,207.0,28.0,50.0,10.0,1.0,9.0,19.0,23.0,4.0,36.0,88.0,0.242,0.354,0.43,0.784,107.0,89.0,2.0,0.0,1.0,0.0,0.0,8H,,3.6,
1936,25,PIT,NL,145.0,620.0,554.0,77.0,160.0,27.0,4.0,6.0,102.0,5.0,7.0,50.0,96.0,0.289,0.352,0.384,0.736,97.0,213.0,17.0,4.0,12.0,,0.0,*5,,3.0,
2008,21,CIN,NL,108,452,413,63,105,17,1,21,52,4,6,33,110,.254,.314,.453,.767,97,187,8,4,0,2,1,987/H,RoY-5,19.9,
1937,36,PHA,AL,102.0,368.0,317.0,40.0,82.0,16.0,5.0,6.0,37.0,1.0,2.0,48.0,30.0,0.259,0.356,0.397,0.754,91.0,126.0,,0.0,3.0,,1.0,2H,,3.7,
1992,24,MIN,AL,56,84,76,7,19,4,0,0,2,6,3,6,12,0.25,0.313,0.303,0.616,73.0,23,0.0,1,1,0,1,H98/7D,,0.2,
2017,25,OAK,AL,48,162,143,12,38,2,0,3,12,1,2,18,38,0.266,0.346,0.343,0.688,90.0,49,1,0,0,1,1,8/H79,,-0.4,
1993,28,CIN,NL,103,299,272,40,73,17,3,6,23,20,8,21,47,.268,.321,.419,.740,97,114,1,1,3,2,4,87H/94,,1.7,
1964,25,WSA,AL,136,473,426,36,104,19,2,2,35,1,1.0,40,54,0.244,0.309,0.312,0.621,74.0,133,14.0,1,3,2,6.0,*2H,,-0.3,
1989,26,DET,AL,92.0,230.0,212.0,33.0,42.0,5.0,2.0,1.0,11.0,8.0,4.0,14.0,45.0,0.198,0.251,0.255,0.506,45.0,54.0,4.0,1.0,3.0,0.0,0.0,64H5/D987,,-2.3,
1983,28,STL,NL,45.0,99.0,87.0,7.0,24.0,7.0,0.0,0.0,9.0,1.0,3.0,10.0,11.0,0.276,0.351,0.356,0.707,96.0,31.0,4.0,0.0,2.0,0.0,1.0,2/H,,-0.3,
1982,21,MIN,AL,127,545,463,77,126,30,1,20,46,1,2,71,101,.272,.377,.471,.848,129,218,12,8,1,2,0,*98/7,,22.0,
2004,26,HOU,NL,45.0,61.0,52.0,14.0,13.0,2.0,0.0,4.0,8.0,4.0,0.0,7.0,13.0,0.25,0.328,0.519,0.847,114.0,27.0,0.0,0.0,0.0,2.0,0.0,6H/487,,0.8,
1953,27,MLN,NL,151.0,668.0,613.0,82.0,153.0,18.0,14.0,1.0,41.0,26.0,11.0,44.0,100.0,0.25,0.306,0.33,0.636,70.0,202.0,9.0,6.0,5.0,,1.0,*8/H,RoY-4,26.3,
1964,25,KCA,AL,93.0,240.0,220.0,19.0,53.0,9.0,2.0,13.0,36.0,0.0,0.0,16.0,69.0,0.241,0.29,0.477,0.767,106.0,105.0,6.0,0.0,2.0,2.0,1.0,2H,,-0.3,
1987,26,LAD,NL,46,81,69,7,17,2,1,2,10,2,1,10,24,0.246,0.346,0.391,0.737,97.0,27,0.0,1,0,1,2,H9/7,,0.9,
1972,23,MIN,AL,100.0,272.0,253.0,18.0,61.0,9.0,3.0,0.0,12.0,3.0,1.0,17.0,38.0,0.241,0.292,0.3,0.592,73.0,76.0,5.0,1.0,1.0,0.0,1.0,78H/9,,5.5,
1953,28,DET,AL,60.0,180.0,158.0,17.0,35.0,9.0,0.0,1.0,14.0,1.0,1.0,20.0,14.0,0.222,0.309,0.297,0.606,66.0,47.0,3.0,0.0,2.0,,5.0,2/H,,-1.1,
2001,27,MIN,AL,69.0,219.0,197.0,28.0,54.0,12.0,0.0,10.0,32.0,1.0,1.0,19.0,58.0,0.274,0.342,0.487,0.83,115.0,96.0,2.0,2.0,0.0,1.0,0.0,9DH/7,,0.4,
1965,23,STL,NL,55.0,181.0,166.0,17.0,41.0,8.0,3.0,3.0,21.0,1.0,0.0,13.0,46.0,0.247,0.3,0.386,0.686,85.0,64.0,4.0,0.0,1.0,1.0,2.0,46/H5,,-1.3,
1934,23,BRO,NL,47.0,89.0,84.0,12.0,19.0,5.0,2.0,0.0,8.0,1.0,0.0,4.0,7.0,0.226,0.261,0.333,0.595,62.0,28.0,1.0,0.0,1.0,,0.0,H4/5,,1.3,
2004,23,KCR,AL,71.0,258.0,238.0,36.0,56.0,9.0,0.0,12.0,30.0,1.0,1.0,15.0,79.0,0.235,0.28,0.424,0.704,80.0,101.0,6.0,0.0,4.0,1.0,0.0,2/D,RoY-8,5.8,
2007,23,OAK,AL,82.0,334.0,285.0,41.0,82.0,22.0,5.0,7.0,34.0,4.0,1.0,39.0,66.0,0.288,0.377,0.474,0.85,129.0,135.0,9.0,4.0,2.0,4.0,2.0,97/8H,,2.8,
1971,21,LAD,NL,108,383,358,37,99,15,1,5,41,4,1,11,18,.277,.306,.366,.672,95,131,6,5,7,2,4,9H3/7,,15.0,
1956,22,BOS,AL,114,456,377,49,90,24,0,5,37,2,0,65,62,.239,.352,.342,.694,76,129,14,4,2,6,1,*6/H,,5.6,
1985,23,TEX,AL,69,236,219,22,48,6,3,6,21,3,2,14,38,.219,.271,.356,.627,70,78,11,2,0,1,2,5/4,,16.5,
1993,23,BAL,AL,53.0,90.0,79.0,18.0,18.0,5.0,0.0,2.0,9.0,2.0,2.0,9.0,19.0,0.228,0.315,0.367,0.682,80.0,29.0,1.0,1.0,1.0,0.0,0.0,H8D/79,,2.5,
1964,27,CHW,AL,135.0,504.0,442.0,62.0,116.0,14.0,6.0,4.0,30.0,12.0,7.0,46.0,62.0,0.262,0.337,0.348,0.685,94.0,154.0,7.0,5.0,8.0,3.0,2.0,45H,,36.2,
1988,23,TOT,AL,85,299,261,36,56,13,1,13,38,1,1,28,93,.215,.302,.421,.723,99,110,5,6,1,3,1,98/H7,,23.0,
1995,26,CHC,NL,104,164,150,19,41,5,7,3,22,8,3,12,30,.273,.331,.460,.791,109,69,4,1,1,0,2,7H8,,-0.7,
1981,28,SEA,AL,62.0,180.0,154.0,15.0,38.0,3.0,0.0,2.0,15.0,0.0,0.0,21.0,20.0,0.247,0.341,0.305,0.646,85.0,47.0,2.0,1.0,4.0,0.0,0.0,2/H,,0.2,
1991,31,MON,NL,73.0,82.0,72.0,6.0,16.0,4.0,0.0,1.0,6.0,6.0,1.0,9.0,13.0,0.222,0.305,0.319,0.624,77.0,23.0,3.0,0.0,0.0,1.0,0.0,H/739,,-0.7,
1973,26,BAL,AL,110,395,356,73,120,15,11,7,34,23,10,34,49,.337,.398,.500,.898,154,178,5,3,1,1,0,79H/D8,RoY-1,24.5,
1955,33,STL,NL,58,187,170,11,47,8,1,0,15,1,1,14,13,.276,.333,.335,.669,80,57,5,1,1,1,1,2/H,,0.2,
1969,30,SFG,NL,97.0,184.0,161.0,20.0,37.0,8.0,0.0,6.0,27.0,0.0,1.0,21.0,12.0,0.23,0.317,0.391,0.708,99.0,63.0,2.0,0.0,1.0,1.0,3.0,H39/7,,-1.8,
1949,22,CHC,NL,46,60,56,4,15,0,0,1,12,0,0,4,4,.268,.317,.321,.638,74,18,1,0,0,,0,H/2,,33.4,
1962,34,LAA,AL,87,183,143,17,28,7,1,2,13,2,0,36,20,.196,.354,.301,.654,81,43,1,0,2,2,8,H3/7,,-0.2,
2005,25,HOU,NL,108.0,359.0,318.0,49.0,79.0,19.0,2.0,5.0,26.0,11.0,6.0,23.0,62.0,0.248,0.309,0.368,0.676,76.0,117.0,7.0,6.0,9.0,3.0,0.0,74H/8,,-1.2,
1977,24,LAD,NL,83.0,175.0,169.0,16.0,43.0,8.0,0.0,1.0,13.0,13.0,5.0,5.0,22.0,0.254,0.28,0.32,0.6,62.0,54.0,3.0,1.0,0.0,0.0,1.0,8H/79,,-2.4,
2004,32,CHW,AL,57.0,133.0,120.0,22.0,40.0,9.0,0.0,0.0,15.0,0.0,0.0,10.0,13.0,0.333,0.386,0.408,0.795,106.0,49.0,3.0,1.0,1.0,1.0,0.0,2/HD359,,1.1,
1963,29,TOT,NL,57.0,108.0,98.0,10.0,19.0,2.0,1.0,3.0,12.0,0.0,1.0,8.0,25.0,0.194,0.252,0.327,0.579,61.0,32.0,2.0,0.0,0.0,1.0,1.0,H4/9537,,0.7,
1987,22,BOS,AL,133,606,558,94,152,30,2,20,59,27,6,41,98,.272,.324,.441,.765,99,246,1,2,4,1,0,*8/DH,,49.8,
1974,23,BOS,AL,114.0,415.0,384.0,36.0,109.0,22.0,0.0,4.0,44.0,3.0,3.0,21.0,34.0,0.284,0.32,0.372,0.693,93.0,143.0,13.0,2.0,3.0,5.0,0.0,64/5H,RoY-4,22.9,
1993,24,NYM,NL,86,306,263,49,64,10,6,13,38,3,6,38,66,.243,.339,.475,.814,118,125,2,1,2,2,4,98H,,19.9,
2015,25,OAK,AL,125.0,555.0,520.0,70.0,153.0,18.0,9.0,5.0,42.0,26.0,8.0,26.0,81.0,0.294,0.334,0.392,0.726,102.0,204.0,5.0,6.0,1.0,2.0,1.0,*8/H,RoY-5,2.0,
1943,27,BSN,NL,52.0,148.0,135.0,12.0,28.0,3.0,0.0,1.0,5.0,2.0,3.0,8.0,25.0,0.207,0.262,0.252,0.514,50.0,34.0,6.0,2.0,3.0,,0.0,5H/987,,-1.3,
2000,23,PHI,NL,111.0,474.0,408.0,57.0,106.0,27.0,1.0,18.0,79.0,0.0,0.0,63.0,139.0,0.26,0.359,0.463,0.822,106.0,189.0,5.0,1.0,0.0,2.0,2.0,37/DH,RoY-4,18.9,
1962,24,LAD,NL,115.0,276.0,249.0,35.0,51.0,6.0,5.0,4.0,30.0,4.0,3.0,21.0,67.0,0.205,0.264,0.317,0.581,60.0,79.0,5.0,0.0,3.0,3.0,5.0,*4H/6,,-0.7,
1952,28,BSN,NL,55.0,178.0,168.0,14.0,37.0,4.0,0.0,2.0,21.0,0.0,0.0,7.0,19.0,0.22,0.256,0.28,0.535,50.0,47.0,9.0,1.0,2.0,,0.0,2/H,,-0.8,
2008,23,SFG,NL,94.0,274.0,240.0,37.0,68.0,6.0,1.0,1.0,18.0,13.0,5.0,23.0,24.0,0.283,0.357,0.329,0.686,81.0,79.0,7.0,5.0,5.0,1.0,1.0,64H/9,,-2.7,
1971,20,WSA,AL,59.0,204.0,181.0,20.0,42.0,9.0,0.0,5.0,25.0,1.0,0.0,22.0,55.0,0.232,0.319,0.365,0.683,100.0,66.0,4.0,1.0,0.0,0.0,0.0,79H,,17.8,
2002,21,SDP,NL,63.0,206.0,192.0,18.0,52.0,5.0,1.0,1.0,11.0,2.0,0.0,12.0,30.0,0.271,0.317,0.323,0.64,77.0,62.0,6.0,1.0,1.0,0.0,1.0,54H,,5.5,
1963,26,CHC,NL,93.0,374.0,322.0,45.0,74.0,16.0,1.0,12.0,41.0,6.0,3.0,36.0,59.0,0.23,0.311,0.398,0.708,98.0,128.0,6.0,4.0,6.0,5.0,1.0,89/H7,,-1.0,
1951,24,CHW,AL,143,524,477,59,135,15,2,5,68,26,11,40,46,.283,.344,.354,.698,90,169,15,4,3,,0,*8H,"AS,MVP-30",12.7,
1944,26,PHA,AL,140,523,484,41.0,131,11,3,0,40.0,5.0,3.0,29.0,17.0,0.271,0.313,0.306,0.619,80.0,148,20.0,1.0,9.0,,2.0,*64/5H,,1.1,
2008,27,MIN,AL,70,245,218,29,64,9,0,4,47,0,2,19,42,0.294,0.34,0.39,0.73,97.0,85,6,0,0,7,0,5/H34D,,0.5,
1998,25,NYY,AL,45,78,71,17,27,3,0,1,5,6,3,5,19,.380,.421,.465,.886,134,33,1,0,2,0,0,4HD/56,,3.0,
1982,23,MIN,AL,55,131,119,13,29,6,1,4,13,0,0,8,28,0.244,0.305,0.412,0.717,93.0,49,1.0,3,0,1,0.0,HD/7,,1.4,
2010,26,MIN,AL,49,155,142,12,28,6,1,2,13,0,0,4,25,.197,.237,.296,.533,46,42,5,4,3,2,0,2/HD,,-4.2,
1981,28,MIN,AL,62.0,194.0,167.0,13.0,40.0,7.0,1.0,0.0,18.0,0.0,0.0,22.0,14.0,0.24,0.325,0.293,0.618,76.0,49.0,8.0,0.0,3.0,2.0,0.0,2/H3D,,-1.2,
2007,21,KCR,AL,92.0,360.0,329.0,38.0,96.0,23.0,2.0,8.0,52.0,0.0,0.0,27.0,55.0,0.292,0.347,0.447,0.794,108.0,147.0,8.0,2.0,0.0,2.0,5.0,D3/H7,,11.9,
2001,23,COL,NL,53,131,119,17,29,7,1,1,14,1,1,7,7,0.244,0.287,0.345,0.631,50.0,41,4,1,2,2,0,4H6/5,,-0.3,
1981,24,ATL,NL,40,145,126,17,32,2,3,0,4,9,1,19,17,.254,.352,.317,.669,89,40,0,0,0,0,0,78/9H,,49.7,
2015,29,TBR,AL,88.0,276.0,257.0,30.0,71.0,12.0,0.0,8.0,30.0,5.0,2.0,16.0,82.0,0.276,0.326,0.416,0.742,107.0,107.0,16.0,3.0,0.0,0.0,0.0,D7H/9,,0.7,
1998,25,TBD,AL,72.0,237.0,217.0,25.0,49.0,3.0,3.0,7.0,20.0,4.0,2.0,15.0,37.0,0.226,0.278,0.364,0.643,65.0,79.0,4.0,2.0,0.0,3.0,0.0,79H,,-0.2,
1994,24,TOR,AL,41.0,88.0,74.0,13.0,13.0,0.0,1.0,0.0,5.0,0.0,1.0,7.0,8.0,0.176,0.25,0.203,0.453,19.0,15.0,3.0,1.0,4.0,2.0,0.0,78H/9D,,-0.2,
2006,26,CHC,NL,71.0,148.0,136.0,20.0,35.0,5.0,5.0,4.0,12.0,8.0,4.0,9.0,44.0,0.257,0.308,0.456,0.764,91.0,62.0,2.0,1.0,2.0,0.0,0.0,H47/98,,-1.3,
2003,25,PHI,NL,135,553,495,86,150,28,4,7,45,11,1,44,94,.303,.366,.418,.784,111,207,8,7,4,3,3,*8/H,RoY-4,25.8,
2002,26,OAK,AL,90.0,104.0,94.0,24.0,23.0,4.0,2.0,3.0,11.0,3.0,0.0,4.0,17.0,0.245,0.291,0.426,0.717,90.0,40.0,3.0,3.0,1.0,2.0,0.0,7H98/D,,10.5,
1943,26,SLB,AL,129,492.0,429.0,58.0,120.0,28.0,7.0,4.0,50.0,1.0,4.0,53.0,49.0,0.28,0.362,0.406,0.767,121.0,174.0,9.0,2.0,8.0,,1.0,*897H,,7.2,
1948,20,PHI,NL,113.0,381.0,351.0,33.0,86.0,12.0,1.0,0.0,19.0,7.0,3.0,24.0,18.0,0.245,0.293,0.285,0.578,59.0,100.0,9.0,0.0,5.0,,0.0,54H,,-2.8,
1974,24,BAL,AL,80,183,174,24,42,4,2,3,17,5,3,7,20,.241,.269,.339,.608,77,59,6,0,1,1,1,3H95/D47,,11.3,
2007,21,CLE,AL,45,186,159,30,45,9,2,3,22,0,0,17,29,.283,.354,.421,.775,103,67,7,2,5,3,0,4/6H5,,29.7,
2009,22,SDP,NL,103.0,438.0,377.0,59.0,96.0,18.0,8.0,2.0,31.0,25.0,8.0,46.0,88.0,0.255,0.342,0.361,0.703,95.0,136.0,3.0,5.0,8.0,2.0,5.0,6/H,RoY-8,5.3,
1990,23,ATL,NL,63.0,143.0,137.0,14.0,38.0,5.0,1.0,7.0,25.0,1.0,0.0,5.0,21.0,0.277,0.301,0.482,0.782,108.0,66.0,4.0,0.0,0.0,1.0,0.0,3H/2,,0.5,
2000,27,CLE,AL,100.0,187.0,175.0,27.0,44.0,3.0,1.0,2.0,15.0,6.0,4.0,8.0,15.0,0.251,0.29,0.314,0.605,53.0,55.0,1.0,2.0,1.0,1.0,0.0,98H74/6D,,0.0,
2006,21,NYY,AL,130,524,460,75,129,26,2,7,50,12,5,56,59,.280,.360,.391,.752,95,180,9,2,5,1,3,*7/9H8,,20.6,
1998,23,MON,NL,79,285,261,44,73,16,5,3,22,6,2,18,27,.280,.325,.414,.739,95,108,6,0,5,1,1,64/H,,21.3,
2016,26,CIN,NL,61,185,171,11,42,10,0,3,23,1,1,8,30,0.246,0.279,0.357,0.635,68.0,61,5,1,2,3,1,2H,,0.5,
1995,31,KCR,AL,55,130,117,13,28,6,2,1,17,2,2,8,15,.239,.291,.350,.642,66,41,3,1,3,1,0,4H/635D,,0.2,
2010,24,MIL,NL,43.0,158.0,147.0,17.0,45.0,11.0,1.0,1.0,13.0,7.0,1.0,9.0,28.0,0.306,0.348,0.415,0.763,105.0,61.0,1.0,1.0,0.0,1.0,0.0,8/H79,,38.5,
1998,24,TBD,AL,150,558,515,49,138,26,5,5,46,19,8,24,44,.268,.307,.367,.674,74,189,9,6,11,2,0,*4/HD,,7.7,
1985,23,SEA,AL,67.0,233.0,210.0,37.0,60.0,16.0,4.0,8.0,28.0,4.0,2.0,19.0,45.0,0.286,0.349,0.514,0.863,134.0,108.0,10.0,2.0,1.0,1.0,1.0,79H/D38,,11.9,
2007,24,ARI,NL,56.0,156.0,144.0,10.0,31.0,8.0,0.0,0.0,7.0,1.0,1.0,9.0,14.0,0.215,0.265,0.271,0.535,36.0,39.0,8.0,1.0,1.0,1.0,0.0,H54/697,,9.6,
1959,20,CHW,AL,49.0,118.0,104.0,12.0,18.0,3.0,0.0,3.0,12.0,0.0,1.0,13.0,20.0,0.173,0.271,0.288,0.56,55.0,30.0,5.0,1.0,0.0,0.0,0.0,7H,,38.4,
2003,26,MON,NL,126,369,340,36,81,17,1,9,52,9,2,20,80,0.238,0.282,0.374,0.656,66.0,127,13,2,4,3,1,79H/8,,-1.3,
1944,29,PIT,NL,63.0,146.0,125.0,14.0,37.0,5.0,1.0,1.0,10.0,0.0,0.0,18.0,12.0,0.296,0.385,0.376,0.761,111.0,47.0,6.0,0.0,3.0,,5.0,2/H,,-0.9,
1997,24,CHW,AL,116,446,379,63,98,18,3,14,55,23,2,55,105,.259,.356,.433,.789,109,164,8,5,2,5,1,*89/HD,RoY-6,46.7,
1934,27,TOT,NL,134.0,557.0,498.0,69.0,133.0,28.0,3.0,16.0,87.0,4.0,5.0,53.0,94.0,0.267,0.342,0.432,0.774,99.0,215.0,9.0,4.0,2.0,,6.0,*3/H,,43.3,
1962,25,LAD,NL,45,102,88,16,25,5,2,4,22,0,0,12,21,.284,.366,.523,.889,143,46,4,0,1,1,1,2/H,,-0.9,
1987,24,HOU,NL,63,218,203,10,50,7,1,3,23,0,0,12,44,.246,.287,.335,.622,67,68,6,0,2,1,1,5/H,,33.4,
2011,25,CHC,NL,95.0,155.0,143.0,24.0,37.0,3.0,0.0,1.0,6.0,24.0,2.0,8.0,30.0,0.259,0.303,0.301,0.603,67.0,43.0,1.0,1.0,3.0,0.0,1.0,H78/9D,,1.3,
1948,26,BRO,NL,83,321,279,32,72,11,3,9,45,3,1,36,45,.258,.345,.416,.761,102,116,3,1,5,,6,2/H,MVP-21,41.8,
1964,22,KCA,AL,67,290,269,27,69,14,3,4,22,10,2,15,41,.257,.306,.375,.681,86,101,3,4,2,0,0,67/5H,,53.0,
1967,23,LAD,NL,41.0,71.0,62.0,3.0,10.0,1.0,0.0,2.0,2.0,0.0,0.0,9.0,14.0,0.161,0.268,0.274,0.542,62.0,17.0,2.0,0.0,0.0,0.0,1.0,H2,,-1.5,
1932,22,TOT,AL,146,660,611,86,173,36,11,14,87,7,6,40,104,.283,.333,.447,.780,97,273,,6,3,,0,*9/7H,,17.0,
1970,28,SDP,NL,154.0,635.0,581.0,71.0,127.0,28.0,2.0,12.0,40.0,18.0,6.0,40.0,115.0,0.219,0.268,0.336,0.604,65.0,195.0,7.0,1.0,9.0,4.0,2.0,*4/H,,-0.9,
2014,27,NYM,NL,85.0,211.0,190.0,16.0,50.0,9.0,0.0,3.0,16.0,3.0,0.0,17.0,55.0,0.263,0.322,0.358,0.68,96.0,68.0,5.0,1.0,0.0,3.0,0.0,H753/9D64,,-0.5,
1963,26,HOU,NL,55,172.0,158.0,9.0,35.0,3.0,0.0,4.0,19.0,0.0,0.0,10.0,40.0,0.222,0.268,0.316,0.584,73.0,50.0,7.0,0.0,4.0,0.0,3.0,2H,,-0.2,
1948,30,DET,AL,59,85,83,15,22,1,1,1,11,0,0,1,10,.265,.274,.337,.611,60,28,0,0,1,,0,H3,,-1.0,
