Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,WAR,Unnamed: 30
1949,26,NYY,AL,103,344,301,56,82,6,6,10,45,2,2,37,42,.272,.354,.432,.786,107,130,9,1,5,,3,987H,,27.2,
1998,23,ANA,AL,63,211,196,24,50,9,1,1,20,10,4,6,36,.255,.277,.327,.603,56,64,4,1,5,3,0,4/H6D,,-0.3,
1947,28,CIN,NL,151.0,711.0,643.0,96.0,182.0,32.0,9.0,5.0,45.0,6.0,7.0,56.0,53.0,0.283,0.341,0.384,0.726,92.0,247.0,6.0,1.0,11.0,,7.0,*98/H,RoY-5,8.1,
1995,23,DET,AL,89.0,289.0,271.0,28.0,55.0,9.0,0.0,7.0,27.0,4.0,1.0,12.0,68.0,0.203,0.237,0.314,0.55,42.0,85.0,6.0,0.0,6.0,0.0,0.0,9/H7D,,-0.4,
2004,23,TOT,AL,41,53,48,5,10,1,0,0,2,0,1,5,22,.208,.283,.229,.512,37,11,0,0,0,0,0,H59/7D,,36.7,
1959,30,CLE,AL,77,270,247,35,59,11,0,15,34,0,1,21,47,.239,.299,.466,.764,110,115,12,0,2,0,0,45H,,1.0,
1956,25,KCA,AL,73,128,106,9,24,3,1,1,5,0,1,18,15,.226,.339,.302,.641,71,32,2,0,4,0,1,6H/4,,-1.0,
2012,27,NYM,NL,89.0,211.0,179.0,26.0,47.0,14.0,2.0,3.0,17.0,5.0,3.0,25.0,45.0,0.263,0.365,0.413,0.778,116.0,74.0,0.0,5.0,0.0,2.0,4.0,9H7/8D,,0.5,
2004,25,PIT,NL,120.0,472.0,411.0,61.0,116.0,24.0,4.0,26.0,82.0,4.0,6.0,41.0,129.0,0.282,0.358,0.55,0.907,132.0,226.0,9.0,10.0,5.0,5.0,2.0,*7/H8,RoY-1,24.8,
1972,23,BAL,AL,102,363,320,33,81,13,3,11,38,24,2,29,50,.253,.330,.416,.745,119,133,9,9,2,3,0,97H8/3,,28.4,
1978,30,ATL,NL,108.0,225.0,185.0,29.0,45.0,8.0,0.0,1.0,16.0,4.0,5.0,36.0,27.0,0.243,0.368,0.303,0.67,81.0,56.0,4.0,1.0,2.0,1.0,0.0,H3/78,,-0.4,
1997,23,SDP,NL,43.0,68.0,65.0,5.0,18.0,3.0,0.0,0.0,7.0,1.0,2.0,2.0,17.0,0.277,0.309,0.323,0.632,71.0,21.0,1.0,1.0,0.0,0.0,0.0,H7/9,,-0.8,
1989,25,LAD,NL,51.0,76.0,71.0,7.0,14.0,4.0,0.0,0.0,3.0,0.0,2.0,4.0,10.0,0.197,0.25,0.254,0.504,45.0,18.0,0.0,1.0,0.0,0.0,0.0,7H8/9,,-2.0,
1986,24,MIN,AL,80.0,194.0,183.0,20.0,39.0,6.0,0.0,3.0,15.0,2.0,3.0,11.0,54.0,0.213,0.258,0.295,0.553,50.0,54.0,6.0,0.0,0.0,0.0,0.0,7H/8D9,,-1.6,
1950,29,PIT,NL,61.0,209.0,177.0,32.0,41.0,6.0,2.0,4.0,12.0,3.0,2.0,27.0,45.0,0.232,0.333,0.356,0.689,79.0,63.0,4.0,0.0,5.0,,0.0,98H/7,,-0.4,
1969,29,CIN,NL,43.0,65.0,60.0,8.0,15.0,1.0,0.0,1.0,8.0,0.0,0.0,5.0,13.0,0.25,0.308,0.317,0.624,72.0,19.0,0.0,0.0,0.0,0.0,2.0,H/783,,-1.4,
1945,29,CHC,NL,67.0,152.0,133.0,25.0,38.0,8.0,2.0,2.0,27.0,0.0,0.0,17.0,16.0,0.286,0.375,0.421,0.796,123.0,56.0,3.0,2.0,0.0,,0.0,H3,,1.0,
